attraction,time,availablebicycles,availabledock,replication,
Dock B,344,74,6,2,
Dock B,344,73,7,2,
Bicycle A,344,70,10,2,
Dock A,345,71,9,2,
Bicycle C,346,79,1,2,
Dock C,346,80,0,2,
Bicycle D,347,79,1,2,
Dock D,347,80,0,2,
Dock B,349,74,6,2,
Bicycle D,349,79,1,2,
Dock D,349,80,0,2,
Dock A,349,72,8,2,
Bicycle D,350,79,1,2,
Bicycle A,350,71,9,2,
Bicycle D,351,78,2,2,
Dock A,352,72,8,2,
Dock A,352,73,7,2,
Dock B,352,73,7,2,
Bicycle C,354,79,1,2,
Dock C,354,80,0,2,
Dock A,354,74,6,2,
Bicycle C,354,79,1,2,
Dock C,354,80,0,2,
Dock D,354,79,1,2,
Dock B,355,74,6,2,
Bicycle C,356,79,1,2,
Dock C,356,80,0,2,
Bicycle C,356,79,1,2,
Dock C,356,80,0,2,
Bicycle D,356,78,2,2,
Bicycle C,357,79,1,2,
Dock C,357,80,0,2,
Bicycle A,358,73,7,2,
Bicycle A,358,72,8,2,
Dock A,359,73,7,2,
Bicycle C,360,79,1,2,
Dock C,360,80,0,2,
Bicycle A,361,72,8,2,
Dock D,362,79,1,2,
Bicycle D,362,78,2,2,
Dock B,364,75,5,2,
Bicycle C,364,79,1,2,
Dock C,364,80,0,2,
Bicycle C,365,79,1,2,
Dock C,365,80,0,2,
Dock B,365,74,6,2,
Dock D,365,79,1,2,
Dock A,366,73,7,2,
Dock D,367,80,0,2,
Dock B,367,75,5,2,
Dock B,368,76,4,2,
Bicycle C,368,79,1,2,
Dock C,368,80,0,2,
Bicycle C,368,79,1,2,
Dock C,368,80,0,2,
Bicycle D,369,79,1,2,
Dock D,369,80,0,2,
Dock B,370,75,5,2,
Dock B,370,74,6,2,
Bicycle D,372,79,1,2,
Dock D,372,80,0,2,
Bicycle C,372,79,1,2,
Dock C,372,80,0,2,
Dock A,372,74,6,2,
Dock B,373,73,7,2,
Bicycle C,373,79,1,2,
Dock C,373,80,0,2,
Bicycle C,373,79,1,2,
Dock C,373,80,0,2,
Dock B,374,72,8,2,
Bicycle D,374,79,1,2,
Dock D,374,80,0,2,
Bicycle D,374,79,1,2,
Dock D,374,80,0,2,
Dock B,375,71,9,2,
Bicycle A,375,73,7,2,
Dock A,376,74,6,2,
Dock A,377,75,5,2,
Dock B,378,70,10,2,
Bicycle A,378,74,6,2,
Dock A,379,75,5,2,
Bicycle C,379,79,1,2,
Dock C,379,80,0,2,
Dock B,379,71,9,2,
Bicycle A,380,74,6,2,
Bicycle D,380,79,1,2,
Dock D,380,80,0,2,
Bicycle C,381,79,1,2,
Dock C,381,80,0,2,
Bicycle D,381,79,1,2,
Dock D,381,80,0,2,
Bicycle A,382,73,7,2,
Dock A,383,74,6,2,
Dock B,384,70,10,2,
Dock A,384,75,5,2,
Bicycle A,384,74,6,2,
Dock B,384,71,9,2,
Bicycle C,384,79,1,2,
Dock C,384,80,0,2,
Bicycle A,385,73,7,2,
Dock B,385,72,8,2,
Bicycle D,386,79,1,2,
Dock D,386,80,0,2,
Bicycle D,386,79,1,2,
Dock D,386,80,0,2,
Dock B,386,73,7,2,
Dock B,389,72,8,2,
Dock A,389,74,6,2,
Bicycle D,389,79,1,2,
Dock D,389,80,0,2,
Dock A,389,75,5,2,
Dock B,390,71,9,2,
Dock B,390,72,8,2,
Bicycle D,391,79,1,2,
Dock D,391,80,0,2,
Dock B,391,71,9,2,
Dock B,391,72,8,2,
Bicycle D,392,79,1,2,
Dock D,392,80,0,2,
Dock A,392,76,4,2,
Bicycle C,393,79,1,2,
Dock C,393,80,0,2,
Bicycle A,393,75,5,2,
Dock A,395,76,4,2,
Bicycle C,395,79,1,2,
Dock C,395,80,0,2,
Dock A,395,77,3,2,
Bicycle D,396,79,1,2,
Dock D,396,80,0,2,
Bicycle C,397,79,1,2,
Dock C,397,80,0,2,
Bicycle A,397,76,4,2,
Dock B,397,73,7,2,
Bicycle A,399,75,5,2,
Dock A,399,76,4,2,
Bicycle A,400,75,5,2,
Bicycle D,401,79,1,2,
Dock D,401,80,0,2,
Bicycle C,402,79,1,2,
Dock C,402,80,0,2,
Bicycle D,402,79,1,2,
Dock D,403,80,0,2,
Dock B,403,72,8,2,
Dock B,404,71,9,2,
Dock A,404,76,4,2,
Bicycle A,404,75,5,2,
Bicycle D,405,79,1,2,
Dock D,405,80,0,2,
Dock A,405,76,4,2,
Dock B,405,72,8,2,
Dock B,405,73,7,2,
Bicycle C,406,79,1,2,
Dock C,406,80,0,2,
Bicycle C,407,79,1,2,
Dock C,407,80,0,2,
Bicycle D,407,79,1,2,
Dock D,407,80,0,2,
Dock B,407,74,6,2,
Dock A,408,77,3,2,
Bicycle C,409,79,1,2,
Dock C,409,80,0,2,
Dock A,410,78,2,2,
Bicycle D,410,79,1,2,
Dock D,410,80,0,2,
Bicycle A,411,77,3,2,
Bicycle D,412,79,1,2,
Bicycle D,412,78,2,2,
Dock B,412,75,5,2,
Dock D,413,79,1,2,
Bicycle C,414,79,1,2,
Dock C,414,80,0,2,
Dock A,414,78,2,2,
Bicycle C,414,79,1,2,
Dock C,414,80,0,2,
Dock D,414,80,0,2,
Dock A,415,79,1,2,
Bicycle C,415,79,1,2,
Dock C,415,80,0,2,
Dock A,416,80,0,2,
Dock B,416,76,4,2,
Bicycle A,416,79,1,2,
Bicycle D,416,79,1,2,
Bicycle D,417,78,2,2,
Bicycle D,417,77,3,2,
Bicycle A,417,78,2,2,
Bicycle D,417,76,4,2,
Bicycle A,417,77,3,2,
Dock D,418,77,3,2,
Dock A,419,78,2,2,
Dock A,420,79,1,2,
Dock A,420,80,0,2,
Dock D,420,78,2,2,
Dock B,421,75,5,2,
Dock B,421,74,6,2,
Bicycle C,421,79,1,2,
Dock B,422,75,5,2,
Dock B,422,74,6,2,
Dock B,422,75,5,2,
Dock B,422,76,4,2,
Bicycle A,423,79,1,2,
Dock A,423,80,0,2,
Dock D,423,79,1,2,
Dock D,423,80,0,2,
Bicycle A,425,79,1,2,
Bicycle A,425,78,2,2,
Bicycle C,426,78,2,2,
Bicycle A,426,77,3,2,
Bicycle C,426,77,3,2,
Dock C,427,78,2,2,
Dock C,428,79,1,2,
Dock C,428,80,0,2,
Bicycle A,429,76,4,2,
Bicycle C,429,79,1,2,
Dock B,430,77,3,2,
Dock B,430,78,2,2,
Bicycle D,431,79,1,2,
Dock D,431,80,0,2,
Bicycle D,432,79,1,2,
Bicycle A,432,75,5,2,
Dock B,432,77,3,2,
Dock B,433,78,2,2,
Dock B,433,79,1,2,
Bicycle C,433,78,2,2,
Dock A,434,76,4,2,
Dock D,434,80,0,2,
Bicycle C,435,77,3,2,
Dock A,435,77,3,2,
Dock B,436,80,0,2,
Bicycle C,436,76,4,2,
Dock B,436,79,1,2,
Bicycle A,437,76,4,2,
Bicycle D,437,79,1,2,
Dock D,437,80,0,2,
Bicycle C,438,75,5,2,
Dock B,438,80,0,2,
Dock C,439,76,4,2,
Bicycle D,440,79,1,2,
Dock A,440,77,3,2,
Dock D,440,80,0,2,
Bicycle C,440,75,5,2,
Bicycle C,441,74,6,2,
Dock C,442,75,5,2,
Dock B,442,79,1,2,
Dock A,443,78,2,2,
Dock B,443,80,0,2,
Bicycle A,444,77,3,2,
Bicycle D,445,79,1,2,
Dock D,445,80,0,2,
Bicycle C,447,74,6,2,
Dock A,447,78,2,2,
Bicycle C,447,73,7,2,
Dock B,449,79,1,2,
Dock B,450,78,2,2,
Dock B,450,77,3,2,
Bicycle A,451,77,3,2,
Dock B,451,78,2,2,
Bicycle D,452,79,1,2,
Dock D,452,80,0,2,
Bicycle D,452,79,1,2,
Dock D,452,80,0,2,
Bicycle A,453,76,4,2,
Bicycle C,453,72,8,2,
Dock C,453,73,7,2,
Dock A,454,77,3,2,
Dock C,455,74,6,2,
Dock A,455,78,2,2,
Bicycle A,455,77,3,2,
Bicycle A,455,76,4,2,
Dock C,456,75,5,2,
Dock B,456,79,1,2,
Bicycle D,456,79,1,2,
Dock D,456,80,0,2,
Dock C,457,76,4,2,
Dock B,458,78,2,2,
Bicycle C,459,75,5,2,
Dock B,459,79,1,2,
Bicycle D,459,79,1,2,
Dock D,459,80,0,2,
Dock A,460,77,3,2,
Dock B,460,78,2,2,
Dock B,460,79,1,2,
Dock B,461,78,2,2,
Dock A,462,78,2,2,
Bicycle A,462,77,3,2,
Dock B,464,79,1,2,
Dock C,464,76,4,2,
Dock B,467,78,2,2,
Bicycle D,467,79,1,2,
Dock D,467,80,0,2,
Dock C,468,77,3,2,
Dock C,468,78,2,2,
Dock B,469,77,3,2,
Dock B,469,78,2,2,
Dock A,470,78,2,2,
Dock B,472,77,3,2,
Bicycle A,473,77,3,2,
Bicycle C,474,77,3,2,
Bicycle C,475,76,4,2,
Dock C,476,77,3,2,
Bicycle D,477,79,1,2,
Dock D,477,80,0,2,
Bicycle D,477,79,1,2,
Dock D,477,80,0,2,
Bicycle C,478,76,4,2,
Dock C,478,77,3,2,
Dock B,478,76,4,2,
Bicycle A,479,76,4,2,
Dock A,479,77,3,2,
Bicycle D,480,79,1,2,
Dock D,480,80,0,2,
Dock B,480,75,5,2,
Dock B,480,76,4,2,
Bicycle D,481,79,1,2,
Dock D,481,80,0,2,
Bicycle A,481,76,4,2,
Dock A,482,77,3,2,
Bicycle C,482,76,4,2,
Dock A,483,78,2,2,
Dock C,484,77,3,2,
Dock A,484,79,1,2,
Dock B,484,77,3,2,
Dock C,485,78,2,2,
Bicycle A,487,78,2,2,
Bicycle D,488,79,1,2,
Dock D,488,80,0,2,
Dock B,488,78,2,2,
Dock C,488,79,1,2,
Bicycle A,490,77,3,2,
Dock A,490,78,2,2,
Bicycle C,493,78,2,2,
Dock B,495,79,1,2,
Dock B,495,78,2,2,
Dock B,496,79,1,2,
Bicycle C,497,77,3,2,
Bicycle D,497,79,1,2,
Dock D,497,80,0,2,
Dock B,498,78,2,2,
Dock A,500,79,1,2,
Dock C,501,78,2,2,
Bicycle D,502,79,1,2,
Dock D,502,80,0,2,
Bicycle C,504,77,3,2,
Dock A,505,80,0,2,
Bicycle D,507,79,1,2,
Dock D,507,80,0,2,
Bicycle D,507,79,1,2,
Dock D,507,80,0,2,
Dock C,507,78,2,2,
Bicycle C,507,77,3,2,
Bicycle D,509,79,1,2,
Dock D,509,80,0,2,
Bicycle C,511,76,4,2,
Dock B,513,77,3,2,
Bicycle A,514,79,1,2,
Dock A,514,80,0,2,
Bicycle C,514,75,5,2,
Bicycle A,515,79,1,2,
Dock A,515,80,0,2,
Bicycle A,515,79,1,2,
Dock A,515,80,0,2,
Bicycle A,515,79,1,2,
Bicycle D,517,79,1,2,
Dock D,517,80,0,2,
Dock B,517,76,4,2,
Dock B,518,75,5,2,
Bicycle C,519,74,6,2,
Dock B,519,76,4,2,
Dock B,519,75,5,2,
Dock B,520,76,4,2,
Dock A,520,80,0,2,
Dock B,521,77,3,2,
Bicycle A,521,79,1,2,
Dock C,522,75,5,2,
Bicycle D,523,79,1,2,
Dock D,523,80,0,2,
Dock C,524,76,4,2,
Dock C,524,77,3,2,
Dock B,525,76,4,2,
Bicycle C,525,76,4,2,
Dock A,525,80,0,2,
Dock B,526,77,3,2,
Dock B,527,78,2,2,
Dock B,527,77,3,2,
Dock B,528,76,4,2,
Dock B,528,75,5,2,
Dock C,528,77,3,2,
Bicycle D,529,79,1,2,
Dock D,529,80,0,2,
Dock B,530,74,6,2,
Dock C,533,78,2,2,
Dock C,533,79,1,2,
Bicycle A,534,79,1,2,
Dock A,534,80,0,2,
Dock C,534,80,0,2,
Bicycle D,536,79,1,2,
Dock D,536,80,0,2,
Bicycle A,536,79,1,2,
Bicycle D,537,79,1,2,
Dock D,537,80,0,2,
Dock A,539,80,0,2,
Dock B,541,75,5,2,
Bicycle D,541,79,1,2,
Dock D,541,80,0,2,
Bicycle A,541,79,1,2,
Dock A,541,80,0,2,
Dock B,541,76,4,2,
Dock B,542,75,5,2,
Bicycle C,543,79,1,2,
Dock C,543,80,0,2,
Bicycle D,545,79,1,2,
Bicycle D,546,78,2,2,
Dock B,546,76,4,2,
Bicycle C,546,79,1,2,
Dock C,546,80,0,2,
Bicycle A,549,79,1,2,
Dock A,549,80,0,2,
Dock D,549,79,1,2,
Dock B,550,75,5,2,
Bicycle A,551,79,1,2,
Dock A,551,80,0,2,
Dock B,551,74,6,2,
Bicycle D,552,78,2,2,
Dock D,554,79,1,2,
Dock B,554,73,7,2,
Dock B,554,74,6,2,
Bicycle D,555,78,2,2,
Bicycle A,556,79,1,2,
Dock A,556,80,0,2,
Bicycle C,557,79,1,2,
Dock C,557,80,0,2,
Dock B,558,75,5,2,
Dock B,559,74,6,2,
Bicycle D,559,77,3,2,
Dock B,560,73,7,2,
Bicycle C,560,79,1,2,
Dock B,560,72,8,2,
Bicycle D,561,76,4,2,
Dock C,561,80,0,2,
Dock B,561,73,7,2,
Bicycle D,563,75,5,2,
Dock D,565,76,4,2,
Dock B,565,72,8,2,
Bicycle C,565,79,1,2,
Dock C,565,80,0,2,
Bicycle A,568,79,1,2,
Dock A,568,80,0,2,
Bicycle C,568,79,1,2,
Dock C,568,80,0,2,
Bicycle C,568,79,1,2,
Dock C,568,80,0,2,
Dock B,569,71,9,2,
Dock D,569,77,3,2,
Bicycle A,570,79,1,2,
Dock A,570,80,0,2,
Dock B,571,70,10,2,
Bicycle C,574,79,1,2,
Dock C,574,80,0,2,
Bicycle D,575,76,4,2,
Dock B,575,71,9,2,
Dock D,576,77,3,2,
Dock D,576,78,2,2,
Dock D,576,79,1,2,
Dock B,576,72,8,2,
Bicycle A,576,79,1,2,
Dock A,576,80,0,2,
Bicycle C,578,79,1,2,
Dock C,578,80,0,2,
Bicycle C,578,79,1,2,
Dock C,578,80,0,2,
Dock B,578,71,9,2,
Dock B,579,70,10,2,
Bicycle D,580,78,2,2,
Dock B,582,71,9,2,
Bicycle D,582,77,3,2,
Bicycle A,582,79,1,2,
Dock A,582,80,0,2,
Bicycle A,582,79,1,2,
Dock A,582,80,0,2,
Dock D,584,78,2,2,
Dock D,585,79,1,2,
Bicycle A,585,79,1,2,
Dock A,585,80,0,2,
Dock B,587,72,8,2,
Bicycle C,588,79,1,2,
Dock C,588,80,0,2,
Bicycle A,588,79,1,2,
Dock A,588,80,0,2,
Dock B,588,73,7,2,
Dock B,588,72,8,2,
Dock B,588,71,9,2,
Bicycle D,590,78,2,2,
Bicycle C,590,79,1,2,
Dock C,590,80,0,2,
Bicycle A,590,79,1,2,
Dock A,590,80,0,2,
Dock B,591,72,8,2,
Dock D,591,79,1,2,
Bicycle C,593,79,1,2,
Dock C,593,80,0,2,
Dock B,593,71,9,2,
Dock B,594,72,8,2,
Dock D,595,80,0,2,
Bicycle C,596,79,1,2,
Dock C,596,80,0,2,
Bicycle A,596,79,1,2,
Dock A,596,80,0,2,
Dock B,596,73,7,2,
Bicycle D,597,79,1,2,
Dock D,597,80,0,2,
Bicycle D,597,79,1,2,
Bicycle D,599,78,2,2,
Dock B,601,72,8,2,
Bicycle A,601,79,1,2,
Dock A,601,80,0,2,
Bicycle C,602,79,1,2,
Dock C,602,80,0,2,
Bicycle C,603,79,1,2,
Dock C,603,80,0,2,
Dock B,603,73,7,2,
Bicycle D,603,77,3,2,
Dock D,604,78,2,2,
Dock B,604,72,8,2,
Dock D,606,79,1,2,
Bicycle D,607,78,2,2,
Bicycle A,608,79,1,2,
Dock A,608,80,0,2,
Dock D,609,79,1,2,
Bicycle A,610,79,1,2,
Dock A,610,80,0,2,
Dock B,610,73,7,2,
Bicycle C,610,79,1,2,
Dock C,610,80,0,2,
Dock D,610,80,0,2,
Dock B,610,72,8,2,
Bicycle D,610,79,1,2,
Dock B,611,71,9,2,
Bicycle C,613,79,1,2,
Dock C,613,80,0,2,
Bicycle A,614,79,1,2,
Dock A,614,80,0,2,
Dock B,614,72,8,2,
Bicycle A,615,79,1,2,
Dock A,615,80,0,2,
Dock B,615,73,7,2,
Bicycle D,616,78,2,2,
Bicycle A,618,79,1,2,
Dock A,618,80,0,2,
Bicycle D,618,77,3,2,
Dock B,619,74,6,2,
Dock B,620,75,5,2,
Dock D,620,78,2,2,
Bicycle C,621,79,1,2,
Dock C,621,80,0,2,
Dock B,623,74,6,2,
Bicycle D,624,77,3,2,
Dock B,625,73,7,2,
Bicycle C,625,79,1,2,
Dock C,625,80,0,2,
Dock B,625,74,6,2,
Dock B,625,73,7,2,
Dock B,625,72,8,2,
Dock B,626,71,9,2,
Dock D,626,78,2,2,
Bicycle C,628,79,1,2,
Dock C,628,80,0,2,
Dock B,629,70,10,2,
Dock D,629,79,1,2,
Bicycle D,630,78,2,2,
Bicycle D,630,77,3,2,
Dock B,631,69,11,2,
Bicycle A,631,79,1,2,
Dock A,631,80,0,2,
Bicycle A,632,79,1,2,
Dock A,632,80,0,2,
Dock B,633,68,12,2,
Bicycle A,634,79,1,2,
Dock A,634,80,0,2,
Bicycle C,635,79,1,2,
Dock C,635,80,0,2,
Dock B,636,67,13,2,
Bicycle C,636,79,1,2,
Dock C,636,80,0,2,
Dock D,637,78,2,2,
Dock D,637,79,1,2,
Bicycle A,637,79,1,2,
Dock A,637,80,0,2,
Bicycle A,637,79,1,2,
Dock A,637,80,0,2,
Dock B,638,68,12,2,
Dock B,638,67,13,2,
Bicycle D,638,78,2,2,
Bicycle C,638,79,1,2,
Dock C,638,80,0,2,
Dock B,639,68,12,2,
Bicycle D,640,77,3,2,
Dock B,640,69,11,2,
Dock B,642,68,12,2,
Dock D,642,78,2,2,
Dock B,643,67,13,2,
Dock B,644,68,12,2,
Bicycle A,644,79,1,2,
Dock A,644,80,0,2,
Dock B,644,69,11,2,
Bicycle A,645,79,1,2,
Dock A,645,80,0,2,
Dock D,645,79,1,2,
Dock D,645,80,0,2,
Bicycle D,646,79,1,2,
Bicycle C,646,79,1,2,
Dock C,646,80,0,2,
Bicycle C,648,79,1,2,
Dock C,648,80,0,2,
Bicycle C,648,79,1,2,
Dock C,648,80,0,2,
Bicycle D,648,78,2,2,
Bicycle A,649,79,1,2,
Dock B,649,70,10,2,
Dock A,649,80,0,2,
Dock B,649,69,11,2,
Dock B,650,70,10,2,
Dock B,651,69,11,2,
Bicycle C,653,79,1,2,
Dock C,653,80,0,2,
Bicycle A,653,79,1,2,
Dock A,653,80,0,2,
Dock B,655,68,12,2,
Bicycle D,656,77,3,2,
Dock D,656,78,2,2,
Bicycle C,656,79,1,2,
Dock C,656,80,0,2,
Bicycle A,657,79,1,2,
Dock D,657,79,1,2,
Dock D,657,80,0,2,
Bicycle C,658,79,1,2,
Dock C,658,80,0,2,
Dock B,658,69,11,2,
Dock A,660,80,0,2,
Bicycle A,660,79,1,2,
Bicycle A,660,78,2,2,
Dock B,662,70,10,2,
Bicycle C,663,79,1,2,
Dock C,663,80,0,2,
Bicycle C,664,79,1,2,
Dock C,664,80,0,2,
Dock B,664,71,9,2,
Bicycle A,664,77,3,2,
Dock B,665,72,8,2,
Dock B,665,71,9,2,
Bicycle D,667,79,1,2,
Dock D,667,80,0,2,
Dock B,668,70,10,2,
Bicycle A,668,76,4,2,
Dock B,668,71,9,2,
Bicycle A,669,75,5,2,
Bicycle D,670,79,1,2,
Dock D,670,80,0,2,
Bicycle A,671,74,6,2,
Bicycle A,671,73,7,2,
Dock B,671,70,10,2,
Dock B,671,71,9,2,
Dock A,671,74,6,2,
Bicycle C,672,79,1,2,
Dock C,672,80,0,2,
Dock A,672,75,5,2,
Dock B,673,70,10,2,
Bicycle D,673,79,1,2,
Dock D,673,80,0,2,
Dock B,673,69,11,2,
Bicycle D,674,79,1,2,
Dock D,674,80,0,2,
Dock B,674,70,10,2,
Dock B,674,69,11,2,
Bicycle A,674,74,6,2,
Bicycle D,675,79,1,2,
Dock D,675,80,0,2,
Dock B,675,70,10,2,
Dock A,676,75,5,2,
Dock B,676,71,9,2,
Dock A,676,76,4,2,
Dock B,678,72,8,2,
Dock A,678,77,3,2,
Bicycle C,678,79,1,2,
Dock C,678,80,0,2,
Bicycle D,679,79,1,2,
Bicycle A,679,76,4,2,
Dock B,679,73,7,2,
Dock B,679,72,8,2,
Dock D,680,80,0,2,
Dock A,682,77,3,2,
Bicycle D,682,79,1,2,
Dock B,682,71,9,2,
Dock B,683,70,10,2,
Bicycle C,684,79,1,2,
Dock C,684,80,0,2,
Bicycle C,685,79,1,2,
Dock C,685,80,0,2,
Bicycle C,685,79,1,2,
Dock C,685,80,0,2,
Dock A,685,78,2,2,
Dock B,685,71,9,2,
Bicycle A,687,77,3,2,
Dock D,688,80,0,2,
Bicycle C,688,79,1,2,
Dock C,688,80,0,2,
Bicycle C,690,79,1,2,
Dock C,690,80,0,2,
Bicycle C,692,79,1,2,
Dock C,692,80,0,2,
Dock B,692,70,10,2,
Bicycle D,694,79,1,2,
Dock D,694,80,0,2,
Dock B,694,69,11,2,
Bicycle D,694,79,1,2,
Dock D,694,80,0,2,
Bicycle C,694,79,1,2,
Dock C,694,80,0,2,
Bicycle C,695,79,1,2,
Dock C,695,80,0,2,
Bicycle A,695,76,4,2,
Bicycle A,696,75,5,2,
Dock B,696,70,10,2,
Bicycle D,696,79,1,2,
Bicycle A,697,74,6,2,
Dock D,697,80,0,2,
Dock A,697,75,5,2,
Dock B,697,69,11,2,
Dock A,697,76,4,2,
Bicycle D,698,79,1,2,
Dock D,698,80,0,2,
Bicycle A,698,75,5,2,
Dock A,699,76,4,2,
Dock B,699,68,12,2,
Dock B,699,67,13,2,
Dock A,700,77,3,2,
Dock B,700,68,12,2,
Bicycle D,700,79,1,2,
Dock D,700,80,0,2,
Bicycle D,701,79,1,2,
Dock D,702,80,0,2,
Dock B,702,67,13,2,
Dock B,702,68,12,2,
Dock B,702,69,11,2,
Bicycle D,703,79,1,2,
Dock D,703,80,0,2,
Dock A,703,78,2,2,
Dock A,704,79,1,2,
Dock B,705,70,10,2,
Dock A,706,80,0,2,
Bicycle A,706,79,1,2,
Bicycle A,707,78,2,2,
Dock B,707,69,11,2,
Bicycle A,707,77,3,2,
Bicycle C,708,79,1,2,
Dock C,708,80,0,2,
Bicycle C,708,79,1,2,
Dock C,708,80,0,2,
Dock B,708,68,12,2,
Bicycle D,710,79,1,2,
Dock D,710,80,0,2,
Bicycle A,711,76,4,2,
Dock B,711,69,11,2,
Bicycle C,712,79,1,2,
Dock C,712,80,0,2,
Bicycle C,713,79,1,2,
Dock C,713,80,0,2,
Dock B,713,70,10,2,
Dock A,713,77,3,2,
Dock B,713,71,9,2,
Dock B,715,70,10,2,
Dock B,717,71,9,2,
Bicycle C,717,79,1,2,
Dock C,717,80,0,2,
Dock B,717,70,10,2,
Bicycle C,717,79,1,2,
Dock C,717,80,0,2,
Bicycle A,717,76,4,2,
Bicycle C,718,79,1,2,
Dock C,718,80,0,2,
Bicycle A,719,75,5,2,
Bicycle C,720,79,1,2,
Dock C,720,80,0,2,
Dock B,721,69,11,2,
Dock B,721,68,12,2,
Bicycle D,723,79,1,2,
Dock D,723,80,0,2,
Bicycle C,723,79,1,2,
Dock C,723,80,0,2,
Dock B,723,69,11,2,
Dock B,724,70,10,2,
Bicycle D,724,79,1,2,
Dock D,724,80,0,2,
Bicycle C,725,79,1,2,
Dock C,725,80,0,2,
Bicycle D,726,79,1,2,
Dock D,726,80,0,2,
Bicycle D,726,79,1,2,
Dock D,726,80,0,2,
Bicycle A,726,74,6,2,
Dock A,727,75,5,2,
Bicycle C,727,79,1,2,
Dock C,727,80,0,2,
Dock A,727,76,4,2,
Dock A,729,77,3,2,
Dock A,729,78,2,2,
Dock B,731,71,9,2,
Bicycle D,731,79,1,2,
Dock D,731,80,0,2,
Bicycle A,732,77,3,2,
Bicycle D,733,79,1,2,
Dock D,733,80,0,2,
Dock A,734,78,2,2,
Bicycle D,735,79,1,2,
Dock D,735,80,0,2,
Bicycle D,735,79,1,2,
Dock D,735,80,0,2,
Bicycle A,736,77,3,2,
Bicycle A,736,76,4,2,
Dock A,736,77,3,2,
Dock B,737,70,10,2,
Dock A,737,78,2,2,
Dock B,737,71,9,2,
Bicycle D,738,79,1,2,
Dock D,738,80,0,2,
Dock A,738,79,1,2,
Dock B,741,72,8,2,
Bicycle C,741,79,1,2,
Dock C,741,80,0,2,
Dock B,741,73,7,2,
Dock A,742,80,0,2,
Bicycle A,742,79,1,2,
Dock B,743,72,8,2,
Bicycle D,744,79,1,2,
Dock D,744,80,0,2,
Bicycle C,744,79,1,2,
Dock C,744,80,0,2,
Bicycle C,745,79,1,2,
Dock C,745,80,0,2,
Dock A,747,80,0,2,
Dock B,747,73,7,2,
Bicycle C,748,79,1,2,
Dock C,748,80,0,2,
Dock B,749,72,8,2,
Bicycle D,749,79,1,2,
Dock D,749,80,0,2,
Bicycle C,750,79,1,2,
Dock C,750,80,0,2,
Bicycle D,750,79,1,2,
Dock D,750,80,0,2,
Bicycle D,751,79,1,2,
Bicycle D,752,78,2,2,
Bicycle A,752,79,1,2,
Dock A,753,80,0,2,
Bicycle C,753,79,1,2,
Dock C,753,80,0,2,
Bicycle C,754,79,1,2,
Dock B,754,71,9,2,
Bicycle C,755,78,2,2,
Dock C,755,79,1,2,
Bicycle C,755,78,2,2,
Dock D,755,79,1,2,
Bicycle C,756,77,3,2,
Dock D,756,80,0,2,
Bicycle C,756,76,4,2,
Bicycle C,757,75,5,2,
Bicycle D,757,79,1,2,
Bicycle C,757,74,6,2,
Dock B,758,72,8,2,
Bicycle D,759,78,2,2,
Bicycle D,759,77,3,2,
Dock D,760,78,2,2,
Dock D,761,79,1,2,
Dock D,762,80,0,2,
Dock C,762,75,5,2,
Bicycle A,762,79,1,2,
Dock A,762,80,0,2,
Bicycle D,763,79,1,2,
Dock D,763,80,0,2,
Bicycle D,765,79,1,2,
Dock D,765,80,0,2,
Bicycle D,766,79,1,2,
Dock D,766,80,0,2,
Dock B,768,73,7,2,
Bicycle A,769,79,1,2,
Dock A,769,80,0,2,
Bicycle A,769,79,1,2,
Dock A,769,80,0,2,
Bicycle D,770,79,1,2,
Dock D,770,80,0,2,
Dock B,771,72,8,2,
Bicycle A,771,79,1,2,
Dock A,771,80,0,2,
Bicycle C,773,74,6,2,
Bicycle D,773,79,1,2,
Dock D,773,80,0,2,
Bicycle C,774,73,7,2,
Dock B,775,73,7,2,
Dock B,776,74,6,2,
Dock B,776,75,5,2,
Dock B,777,74,6,2,
Bicycle A,777,79,1,2,
Dock A,777,80,0,2,
Bicycle C,778,72,8,2,
Dock B,778,73,7,2,
Bicycle C,778,71,9,2,
Bicycle C,778,70,10,2,
Dock B,780,72,8,2,
Bicycle C,781,69,11,2,
Dock C,782,70,10,2,
Bicycle C,783,69,11,2,
Dock C,784,70,10,2,
Dock B,784,73,7,2,
Dock C,786,71,9,2,
Bicycle D,786,79,1,2,
Dock D,786,80,0,2,
Bicycle D,787,79,1,2,
Dock D,787,80,0,2,
Bicycle C,787,70,10,2,
Bicycle D,787,79,1,2,
Dock D,787,80,0,2,
Dock C,787,71,9,2,
Bicycle A,788,79,1,2,
Dock A,788,80,0,2,
Dock B,790,72,8,2,
Bicycle C,790,70,10,2,
Dock B,793,73,7,2,
Bicycle D,793,79,1,2,
Dock D,793,80,0,2,
Bicycle D,795,79,1,2,
Dock D,795,80,0,2,
Dock B,796,72,8,2,
Bicycle A,796,79,1,2,
Dock A,796,80,0,2,
Dock B,797,71,9,2,
Dock C,797,71,9,2,
Bicycle D,798,79,1,2,
Dock D,798,80,0,2,
Bicycle C,798,70,10,2,
Bicycle C,798,69,11,2,
Bicycle A,800,79,1,2,
Dock A,800,80,0,2,
Bicycle D,801,79,1,2,
Dock D,801,80,0,2,
Bicycle D,801,79,1,2,
Dock D,801,80,0,2,
Dock B,803,70,10,2,
Dock B,803,71,9,2,
